449.0	2.8000000000000003	10.0	1.3
452.0	2.8000000000000003	15.0	1.5
454.0	2.8000000000000003	20.0	1.6
456.0	2.8000000000000003	25.0	1.7000000000000002
457.0	2.8000000000000003	30.0	1.8
458.0	2.8000000000000003	35.0	1.9000000000000001
459.0	2.8000000000000003	40.0	2.0
460.0	2.8000000000000003	45.0	2.1
461.0	2.8000000000000003	50.0	2.3000000000000003
462.0	2.8000000000000003	55.0	2.4000000000000004
464.0	2.8000000000000003	60.0	2.5
465.0	2.8000000000000003	62.0	2.5
467.0	2.8000000000000003	66.0	2.6
469.0	2.8000000000000003	68.0	2.7
475.0	2.8000000000000003	64.0	2.6
477.0	2.8000000000000003	60.0	2.5
479.0	2.8000000000000003	55.0	2.4000000000000004
481.0	2.8000000000000003	50.0	2.3000000000000003
484.0	2.8000000000000003	45.0	2.1
487.0	2.8000000000000003	40.0	2.0
491.0	2.8000000000000003	35.0	1.9000000000000001
493.0	2.8000000000000003	32.0	1.8
495.0	2.8000000000000003	30.0	1.8
498.0	2.8000000000000003	28.0	1.8
504.0	2.8000000000000003	27.0	1.7000000000000002
508.0	2.8000000000000003	28.0	1.8
512.0	2.8000000000000003	30.0	1.8
517.0	2.8000000000000003	35.0	1.9000000000000001
521.0	2.8000000000000003	40.0	2.0
525.0	2.8000000000000003	45.0	2.1
528.0	2.8000000000000003	50.0	2.3000000000000003
532.0	2.8000000000000003	55.0	2.4000000000000004
535.0	2.8000000000000003	60.0	2.5
539.0	2.8000000000000003	65.0	2.6
542.0	2.8000000000000003	70.0	2.7
545.0	2.8000000000000003	75.0	2.8000000000000003
549.0	2.8000000000000003	80.0	3.0
554.0	2.8000000000000003	85.0	3.1
561.0	2.8000000000000003	90.0	3.2
569.0	2.8000000000000003	95.0	3.3000000000000003
588.0	2.8000000000000003	100.0	3.4000000000000004
607.0	2.8000000000000003	95.0	3.3000000000000003
614.0	2.8000000000000003	90.0	3.2
622.0	2.8000000000000003	85.0	3.1
628.0	2.8000000000000003	80.0	3.0
633.0	2.8000000000000003	75.0	2.8000000000000003
638.0	2.8000000000000003	70.0	2.7
643.0	2.8000000000000003	65.0	2.6
647.0	2.8000000000000003	60.0	2.5
651.0	2.8000000000000003	55.0	2.4000000000000004
657.0	2.8000000000000003	50.0	2.3000000000000003
662.0	2.8000000000000003	45.0	2.1
666.0	2.8000000000000003	40.0	2.0
672.0	2.8000000000000003	35.0	1.9000000000000001
678.0	2.8000000000000003	30.0	1.8
686.0	2.8000000000000003	25.0	1.7000000000000002
696.0	2.8000000000000003	20.0	1.6
709.0	2.8000000000000003	15.0	1.5
727.0	2.8000000000000003	10.0	1.3


Dodatkowe Parametry:

